"Step","3x3HighIn_simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-15_18-52-58 - reward","3x3HighIn_simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-15_18-52-58 - reward__MIN","3x3HighIn_simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-15_18-52-58 - reward__MAX"
"0","-152.66","-152.66","-152.66"
"1","-146.88666666666666","-146.88666666666666","-146.88666666666666"
"2","-136.67399999999995","-136.67399999999995","-136.67399999999995"
"3","-121.11799999999998","-121.11799999999998","-121.11799999999998"
"4","-117.29","-117.29","-117.29"
"5","-105.15999999999997","-105.15999999999997","-105.15999999999997"
"6","-96.04099999999998","-96.04099999999998","-96.04099999999998"
"7","-92.81600000000002","-92.81600000000002","-92.81600000000002"
"8","-91.36200000000001","-91.36200000000001","-91.36200000000001"
"9","-90.49900000000004","-90.49900000000004","-90.49900000000004"
"10","-90.206","-90.206","-90.206"
"11","-89.69600000000003","-89.69600000000003","-89.69600000000003"
"12","-89.25","-89.25","-89.25"
"13","-88.89600000000002","-88.89600000000002","-88.89600000000002"
"14","-88.46400000000001","-88.46400000000001","-88.46400000000001"
"15","-87.68599999999998","-87.68599999999998","-87.68599999999998"
"16","-86.47200000000001","-86.47200000000001","-86.47200000000001"
"17","-84.46600000000001","-84.46600000000001","-84.46600000000001"
"18","-82.40099999999998","-82.40099999999998","-82.40099999999998"
"19","-79.90599999999999","-79.90599999999999","-79.90599999999999"
"20","-77.161","-77.161","-77.161"
"21","-74.506","-74.506","-74.506"
"22","-71.564","-71.564","-71.564"
"23","-69.06700000000002","-69.06700000000002","-69.06700000000002"
"24","-65.87600000000002","-65.87600000000002","-65.87600000000002"
"25","-63.03","-63.03","-63.03"
"26","-59.790000000000006","-59.790000000000006","-59.790000000000006"
"27","-56.289000000000016","-56.289000000000016","-56.289000000000016"
"28","-51.46100000000001","-51.46100000000001","-51.46100000000001"
"29","-46.833","-46.833","-46.833"
"30","-42.37400000000002","-42.37400000000002","-42.37400000000002"
"31","-37.832000000000015","-37.832000000000015","-37.832000000000015"
"32","-33.870000000000026","-33.870000000000026","-33.870000000000026"
"33","-30.433000000000025","-30.433000000000025","-30.433000000000025"
"34","-26.815000000000023","-26.815000000000023","-26.815000000000023"
"35","-23.232000000000024","-23.232000000000024","-23.232000000000024"
"36","-20.615000000000013","-20.615000000000013","-20.615000000000013"
"37","-17.71600000000001","-17.71600000000001","-17.71600000000001"
"38","-14.885000000000007","-14.885000000000007","-14.885000000000007"
"39","-12.349000000000006","-12.349000000000006","-12.349000000000006"
"40","-8.927000000000003","-8.927000000000003","-8.927000000000003"
"41","-4.5079999999999965","-4.5079999999999965","-4.5079999999999965"
"42","-0.8299999999999966","-0.8299999999999966","-0.8299999999999966"
"43","2.3920000000000043","2.3920000000000043","2.3920000000000043"
"44","6.415000000000001","6.415000000000001","6.415000000000001"
"45","10.016999999999992","10.016999999999992","10.016999999999992"
"46","13.426999999999985","13.426999999999985","13.426999999999985"
"47","16.925999999999974","16.925999999999974","16.925999999999974"
"48","20.829999999999963","20.829999999999963","20.829999999999963"
"49","24.13099999999995","24.13099999999995","24.13099999999995"
"50","26.414999999999942","26.414999999999942","26.414999999999942"
"51","28.964999999999936","28.964999999999936","28.964999999999936"
"52","31.14799999999993","31.14799999999993","31.14799999999993"
"53","34.66399999999993","34.66399999999993","34.66399999999993"
"54","38.62399999999993","38.62399999999993","38.62399999999993"
"55","42.08699999999993","42.08699999999993","42.08699999999993"
"56","46.63299999999994","46.63299999999994","46.63299999999994"
"57","51.38099999999993","51.38099999999993","51.38099999999993"
"58","55.73499999999994","55.73499999999994","55.73499999999994"
"59","59.505999999999965","59.505999999999965","59.505999999999965"
