"Step","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward__MIN","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward__MAX"
"32","-79.55899999999995","-79.55899999999995","-79.55899999999995"
"33","-77.86699999999996","-77.86699999999996","-77.86699999999996"
"34","-75.26299999999998","-75.26299999999998","-75.26299999999998"
"35","-73.73499999999996","-73.73499999999996","-73.73499999999996"
"36","-71.87199999999997","-71.87199999999997","-71.87199999999997"
"37","-69.35899999999997","-69.35899999999997","-69.35899999999997"
"38","-69.68699999999998","-69.68699999999998","-69.68699999999998"
"39","-69.32","-69.32","-69.32"
"40","-66.77999999999999","-66.77999999999999","-66.77999999999999"
"41","-65.71499999999997","-65.71499999999997","-65.71499999999997"
"42","-65.10999999999999","-65.10999999999999","-65.10999999999999"
"43","-62.16199999999998","-62.16199999999998","-62.16199999999998"
"44","-60.63199999999999","-60.63199999999999","-60.63199999999999"
"45","-59.137999999999984","-59.137999999999984","-59.137999999999984"
"46","-57.743999999999986","-57.743999999999986","-57.743999999999986"
"47","-55.52099999999999","-55.52099999999999","-55.52099999999999"
"48","-52.132000000000005","-52.132000000000005","-52.132000000000005"
"49","-47.843","-47.843","-47.843"
"50","-42.31200000000002","-42.31200000000002","-42.31200000000002"
"51","-35.11700000000002","-35.11700000000002","-35.11700000000002"
"52","-28.757000000000016","-28.757000000000016","-28.757000000000016"
"53","-21.78400000000001","-21.78400000000001","-21.78400000000001"
"54","-15.48300000000001","-15.48300000000001","-15.48300000000001"
"55","-10.797","-10.797","-10.797"
"56","-8.078000000000001","-8.078000000000001","-8.078000000000001"
"57","-7.156000000000001","-7.156000000000001","-7.156000000000001"
"58","-7.597","-7.597","-7.597"
"59","-5.534999999999999","-5.534999999999999","-5.534999999999999"
"60","-5.410999999999998","-5.410999999999998","-5.410999999999998"
"61","-2.4599999999999995","-2.4599999999999995","-2.4599999999999995"
"62","1.8410000000000009","1.8410000000000009","1.8410000000000009"
"63","5.092","5.092","5.092"
"64","7.219999999999998","7.219999999999998","7.219999999999998"
"65","11.109999999999992","11.109999999999992","11.109999999999992"
"66","12.582999999999991","12.582999999999991","12.582999999999991"
"67","14.912999999999988","14.912999999999988","14.912999999999988"
"68","17.69499999999998","17.69499999999998","17.69499999999998"
"69","19.44199999999998","19.44199999999998","19.44199999999998"
"70","21.39199999999997","21.39199999999997","21.39199999999997"
"71","23.82299999999997","23.82299999999997","23.82299999999997"
"72","25.948999999999966","25.948999999999966","25.948999999999966"
"73","28.255999999999958","28.255999999999958","28.255999999999958"
"74","29.664999999999953","29.664999999999953","29.664999999999953"
"75","32.156999999999954","32.156999999999954","32.156999999999954"
"76","33.22599999999994","33.22599999999994","33.22599999999994"
"77","34.41099999999996","34.41099999999996","34.41099999999996"
"78","35.82499999999995","35.82499999999995","35.82499999999995"
"79","37.781999999999954","37.781999999999954","37.781999999999954"
"80","39.30999999999995","39.30999999999995","39.30999999999995"
"81","40.99399999999995","40.99399999999995","40.99399999999995"
"82","41.88899999999995","41.88899999999995","41.88899999999995"
"83","42.01699999999996","42.01699999999996","42.01699999999996"
"84","41.88899999999995","41.88899999999995","41.88899999999995"
"85","41.95199999999994","41.95199999999994","41.95199999999994"
"86","42.55199999999995","42.55199999999995","42.55199999999995"
"87","43.561999999999955","43.561999999999955","43.561999999999955"
"88","44.31899999999996","44.31899999999996","44.31899999999996"
"89","45.59399999999996","45.59399999999996","45.59399999999996"
"90","46.97899999999994","46.97899999999994","46.97899999999994"
"91","37.278999999999954","37.278999999999954","37.278999999999954"
"92","26.88499999999997","26.88499999999997","26.88499999999997"
"93","13.51699999999997","13.51699999999997","13.51699999999997"
"94","-5.167000000000019","-5.167000000000019","-5.167000000000019"
