"Step","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_13-11-15 - reward","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_13-11-15 - reward__MIN","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_13-11-15 - reward__MAX"
"0","-151.44499999999996","-151.44499999999996","-151.44499999999996"
"1","-145.58833333333328","-145.58833333333328","-145.58833333333328"
"2","-136.29699999999997","-136.29699999999997","-136.29699999999997"
"3","-122.11399999999999","-122.11399999999999","-122.11399999999999"
"4","-117.82000000000002","-117.82000000000002","-117.82000000000002"
"5","-106.39099999999999","-106.39099999999999","-106.39099999999999"
"6","-97.92400000000002","-97.92400000000002","-97.92400000000002"
"7","-93.954","-93.954","-93.954"
"8","-91.58900000000001","-91.58900000000001","-91.58900000000001"
"9","-90.30000000000001","-90.30000000000001","-90.30000000000001"
"10","-89.44299999999997","-89.44299999999997","-89.44299999999997"
"11","-88.383","-88.383","-88.383"
"12","-87.87700000000001","-87.87700000000001","-87.87700000000001"
"13","-86.837","-86.837","-86.837"
"14","-85.82900000000001","-85.82900000000001","-85.82900000000001"
"15","-85.236","-85.236","-85.236"
"16","-84.70600000000002","-84.70600000000002","-84.70600000000002"
"17","-84.71700000000001","-84.71700000000001","-84.71700000000001"
"18","-87.426","-87.426","-87.426"
"19","-89.40600000000002","-89.40600000000002","-89.40600000000002"
"20","-89.45200000000001","-89.45200000000001","-89.45200000000001"
"21","-88.139","-88.139","-88.139"
"22","-85.884","-85.884","-85.884"
"23","-81.22800000000001","-81.22800000000001","-81.22800000000001"
"24","-77.01299999999999","-77.01299999999999","-77.01299999999999"
"25","-73.617","-73.617","-73.617"
"26","-71.428","-71.428","-71.428"
"27","-68.315","-68.315","-68.315"
"28","-65.59","-65.59","-65.59"
"29","-62.641000000000005","-62.641000000000005","-62.641000000000005"
"30","-59.659000000000006","-59.659000000000006","-59.659000000000006"
"31","-57.38900000000002","-57.38900000000002","-57.38900000000002"
"32","-54.116000000000014","-54.116000000000014","-54.116000000000014"
"33","-50.647000000000006","-50.647000000000006","-50.647000000000006"
"34","-47.26700000000002","-47.26700000000002","-47.26700000000002"
