"Step","3x3HighIn_simple_3by3_oldarrival_run_arrival_change_201_007_transformer_2025-06-09_09-54-32 - reward","3x3HighIn_simple_3by3_oldarrival_run_arrival_change_201_007_transformer_2025-06-09_09-54-32 - reward__MIN","3x3HighIn_simple_3by3_oldarrival_run_arrival_change_201_007_transformer_2025-06-09_09-54-32 - reward__MAX"
"188","13.241999999999948","13.241999999999948","13.241999999999948"
"189","12.263999999999951","12.263999999999951","12.263999999999951"
"190","13.649999999999947","13.649999999999947","13.649999999999947"
"191","28.474999999999937","28.474999999999937","28.474999999999937"
"192","35.533999999999935","35.533999999999935","35.533999999999935"
"193","38.792999999999935","38.792999999999935","38.792999999999935"
"194","34.22799999999994","34.22799999999994","34.22799999999994"
"195","32.95599999999994","32.95599999999994","32.95599999999994"
"196","35.25699999999993","35.25699999999993","35.25699999999993"
"197","36.95899999999993","36.95899999999993","36.95899999999993"
"198","37.46899999999993","37.46899999999993","37.46899999999993"
"199","42.78499999999991","42.78499999999991","42.78499999999991"
"200","43.20299999999993","43.20299999999993","43.20299999999993"
"201","41.96599999999992","41.96599999999992","41.96599999999992"
"202","41.74799999999993","41.74799999999993","41.74799999999993"
"203","37.88199999999993","37.88199999999993","37.88199999999993"
"204","37.80599999999992","37.80599999999992","37.80599999999992"
"205","35.426999999999936","35.426999999999936","35.426999999999936"
"206","34.920999999999935","34.920999999999935","34.920999999999935"
"207","31.763999999999943","31.763999999999943","31.763999999999943"
"208","34.88699999999994","34.88699999999994","34.88699999999994"
"209","34.79399999999994","34.79399999999994","34.79399999999994"
"210","33.50699999999994","33.50699999999994","33.50699999999994"
"211","34.20099999999994","34.20099999999994","34.20099999999994"
"212","37.93399999999993","37.93399999999993","37.93399999999993"
"213","37.427999999999926","37.427999999999926","37.427999999999926"
"214","36.33699999999993","36.33699999999993","36.33699999999993"
"215","38.685999999999936","38.685999999999936","38.685999999999936"
"216","39.69099999999994","39.69099999999994","39.69099999999994"
"217","39.81899999999993","39.81899999999993","39.81899999999993"
"218","41.93599999999992","41.93599999999992","41.93599999999992"
"219","46.57999999999992","46.57999999999992","46.57999999999992"
"220","48.32599999999992","48.32599999999992","48.32599999999992"
"221","42.650999999999925","42.650999999999925","42.650999999999925"
"222","42.53399999999992","42.53399999999992","42.53399999999992"
"223","41.626999999999924","41.626999999999924","41.626999999999924"
"224","40.03499999999993","40.03499999999993","40.03499999999993"
"225","38.21299999999994","38.21299999999994","38.21299999999994"
"226","42.973999999999926","42.973999999999926","42.973999999999926"
"227","43.514999999999915","43.514999999999915","43.514999999999915"
"228","42.23599999999992","42.23599999999992","42.23599999999992"
"229","41.553999999999924","41.553999999999924","41.553999999999924"
"230","44.22499999999993","44.22499999999993","44.22499999999993"
"231","38.37699999999993","38.37699999999993","38.37699999999993"
"232","35.23299999999993","35.23299999999993","35.23299999999993"
"233","33.12999999999994","33.12999999999994","33.12999999999994"
"234","36.43099999999993","36.43099999999993","36.43099999999993"
"235","35.60899999999993","35.60899999999993","35.60899999999993"
"236","39.82299999999994","39.82299999999994","39.82299999999994"
"237","45.176999999999936","45.176999999999936","45.176999999999936"
"238","49.153999999999925","49.153999999999925","49.153999999999925"
"239","47.16799999999992","47.16799999999992","47.16799999999992"
"240","42.694999999999936","42.694999999999936","42.694999999999936"
"241","35.21399999999994","35.21399999999994","35.21399999999994"
"242","28.618999999999946","28.618999999999946","28.618999999999946"
"243","19.096999999999962","19.096999999999962","19.096999999999962"
"244","11.58199999999997","11.58199999999997","11.58199999999997"
"245","10.706999999999972","10.706999999999972","10.706999999999972"
"246","15.817999999999968","15.817999999999968","15.817999999999968"
"247","16.545999999999964","16.545999999999964","16.545999999999964"
"248","21.509999999999962","21.509999999999962","21.509999999999962"
"249","25.05999999999996","25.05999999999996","25.05999999999996"
"250","27.654999999999955","27.654999999999955","27.654999999999955"
"251","28.377999999999947","28.377999999999947","28.377999999999947"
"252","32.90099999999995","32.90099999999995","32.90099999999995"
"253","27.851999999999958","27.851999999999958","27.851999999999958"
"254","27.290999999999954","27.290999999999954","27.290999999999954"
"255","27.913999999999955","27.913999999999955","27.913999999999955"
"256","28.647999999999957","28.647999999999957","28.647999999999957"
"257","27.25399999999996","27.25399999999996","27.25399999999996"
"258","32.83999999999995","32.83999999999995","32.83999999999995"
"259","36.428999999999945","36.428999999999945","36.428999999999945"
"260","37.18499999999993","37.18499999999993","37.18499999999993"
"261","36.97799999999993","36.97799999999993","36.97799999999993"
"262","40.80399999999993","40.80399999999993","40.80399999999993"
"263","43.60399999999992","43.60399999999992","43.60399999999992"
"264","44.996999999999915","44.996999999999915","44.996999999999915"
"265","48.033999999999935","48.033999999999935","48.033999999999935"
"266","51.71299999999991","51.71299999999991","51.71299999999991"
"267","51.606999999999914","51.606999999999914","51.606999999999914"
"268","53.40099999999991","53.40099999999991","53.40099999999991"
"269","50.9379999999999","50.9379999999999","50.9379999999999"
"270","52.293999999999905","52.293999999999905","52.293999999999905"
"271","52.53999999999991","52.53999999999991","52.53999999999991"
"272","53.7289999999999","53.7289999999999","53.7289999999999"
"273","55.30399999999992","55.30399999999992","55.30399999999992"
"274","58.12699999999992","58.12699999999992","58.12699999999992"
"275","57.77699999999991","57.77699999999991","57.77699999999991"
"276","58.78799999999992","58.78799999999992","58.78799999999992"
"277","55.261999999999944","55.261999999999944","55.261999999999944"
"278","54.35399999999992","54.35399999999992","54.35399999999992"
"279","53.09499999999994","53.09499999999994","53.09499999999994"
"280","54.50399999999993","54.50399999999993","54.50399999999993"
"281","55.69799999999991","55.69799999999991","55.69799999999991"
"282","58.36099999999992","58.36099999999992","58.36099999999992"
"283","60.39999999999992","60.39999999999992","60.39999999999992"
"284","62.293999999999926","62.293999999999926","62.293999999999926"
"285","62.96899999999992","62.96899999999992","62.96899999999992"
"286","65.16599999999995","65.16599999999995","65.16599999999995"
"287","66.48399999999995","66.48399999999995","66.48399999999995"
"288","67.55699999999997","67.55699999999997","67.55699999999997"
"289","65.92399999999996","65.92399999999996","65.92399999999996"
"290","66.89699999999996","66.89699999999996","66.89699999999996"
"291","63.89699999999996","63.89699999999996","63.89699999999996"
"292","62.95199999999994","62.95199999999994","62.95199999999994"
"293","61.52899999999994","61.52899999999994","61.52899999999994"
"294","62.54699999999993","62.54699999999993","62.54699999999993"
"295","60.57299999999994","60.57299999999994","60.57299999999994"
"296","63.22499999999994","63.22499999999994","63.22499999999994"
"297","61.40499999999994","61.40499999999994","61.40499999999994"
"298","61.94299999999994","61.94299999999994","61.94299999999994"
"299","63.58099999999994","63.58099999999994","63.58099999999994"
"300","58.85499999999993","58.85499999999993","58.85499999999993"
"301","54.30499999999994","54.30499999999994","54.30499999999994"
"302","56.213999999999935","56.213999999999935","56.213999999999935"
"303","54.57999999999992","54.57999999999992","54.57999999999992"
"304","50.18099999999993","50.18099999999993","50.18099999999993"
"305","55.61999999999995","55.61999999999995","55.61999999999995"
"306","59.51899999999994","59.51899999999994","59.51899999999994"
"307","57.966999999999935","57.966999999999935","57.966999999999935"
"308","58.59799999999992","58.59799999999992","58.59799999999992"
"309","62.75899999999994","62.75899999999994","62.75899999999994"
"310","62.848999999999954","62.848999999999954","62.848999999999954"
"311","64.50499999999995","64.50499999999995","64.50499999999995"
"312","65.83899999999994","65.83899999999994","65.83899999999994"
"313","67.17199999999995","67.17199999999995","67.17199999999995"
"314","66.81499999999994","66.81499999999994","66.81499999999994"
"315","67.26699999999994","67.26699999999994","67.26699999999994"
"316","67.19999999999996","67.19999999999996","67.19999999999996"
"317","68.88299999999997","68.88299999999997","68.88299999999997"
"318","69.40999999999997","69.40999999999997","69.40999999999997"
"319","70.30299999999997","70.30299999999997","70.30299999999997"
"320","71.88199999999998","71.88199999999998","71.88199999999998"
"321","71.55399999999997","71.55399999999997","71.55399999999997"
"322","72.53999999999998","72.53999999999998","72.53999999999998"
"323","73.123","73.123","73.123"
"324","73.82399999999998","73.82399999999998","73.82399999999998"
"325","75.108","75.108","75.108"
"326","76.37900000000002","76.37900000000002","76.37900000000002"
"327","75.98100000000001","75.98100000000001","75.98100000000001"
"328","76.51500000000001","76.51500000000001","76.51500000000001"
"329","75.346","75.346","75.346"
"330","74.503","74.503","74.503"
"331","74.594","74.594","74.594"
"332","76.34800000000001","76.34800000000001","76.34800000000001"
"333","75.99","75.99","75.99"
"334","76.70400000000001","76.70400000000001","76.70400000000001"
"335","75.84","75.84","75.84"
"336","74.04","74.04","74.04"
"337","71.67299999999997","71.67299999999997","71.67299999999997"
"338","71.18999999999997","71.18999999999997","71.18999999999997"
"339","69.96699999999997","69.96699999999997","69.96699999999997"
"340","69.95699999999997","69.95699999999997","69.95699999999997"
"341","70.78599999999997","70.78599999999997","70.78599999999997"
"342","72.53999999999998","72.53999999999998","72.53999999999998"
"343","69.71399999999998","69.71399999999998","69.71399999999998"
"344","69.91099999999997","69.91099999999997","69.91099999999997"
"345","68.21799999999995","68.21799999999995","68.21799999999995"
"346","69.02599999999997","69.02599999999997","69.02599999999997"
"347","66.23999999999995","66.23999999999995","66.23999999999995"
"348","67.81599999999996","67.81599999999996","67.81599999999996"
"349","67.48099999999995","67.48099999999995","67.48099999999995"
"350","63.14399999999994","63.14399999999994","63.14399999999994"
"351","60.31799999999993","60.31799999999993","60.31799999999993"
"352","60.69399999999994","60.69399999999994","60.69399999999994"
"353","59.80199999999993","59.80199999999993","59.80199999999993"
"354","56.63799999999992","56.63799999999992","56.63799999999992"
"355","60.376999999999924","60.376999999999924","60.376999999999924"
"356","61.47799999999994","61.47799999999994","61.47799999999994"
"357","61.94099999999993","61.94099999999993","61.94099999999993"
"358","61.331999999999915","61.331999999999915","61.331999999999915"
"359","62.54799999999992","62.54799999999992","62.54799999999992"
"360","62.23799999999993","62.23799999999993","62.23799999999993"
"361","61.911999999999935","61.911999999999935","61.911999999999935"
"362","62.959999999999944","62.959999999999944","62.959999999999944"
"363","64.77199999999995","64.77199999999995","64.77199999999995"
"364","67.78799999999997","67.78799999999997","67.78799999999997"
"365","70.38799999999998","70.38799999999998","70.38799999999998"
"366","72.15499999999999","72.15499999999999","72.15499999999999"
"367","72.96599999999998","72.96599999999998","72.96599999999998"
"368","73.87499999999999","73.87499999999999","73.87499999999999"
"369","72.325","72.325","72.325"
"370","70.21599999999997","70.21599999999997","70.21599999999997"
"371","66.60699999999994","66.60699999999994","66.60699999999994"
"372","64.49799999999993","64.49799999999993","64.49799999999993"
"373","61.06599999999993","61.06599999999993","61.06599999999993"
"374","59.99999999999993","59.99999999999993","59.99999999999993"
"375","60.72899999999992","60.72899999999992","60.72899999999992"
"376","62.65799999999993","62.65799999999993","62.65799999999993"
"377","64.38399999999994","64.38399999999994","64.38399999999994"
"378","67.10499999999995","67.10499999999995","67.10499999999995"
"379","69.33099999999996","69.33099999999996","69.33099999999996"
"380","70.63499999999998","70.63499999999998","70.63499999999998"
"381","71.26399999999997","71.26399999999997","71.26399999999997"
"382","71.71599999999997","71.71599999999997","71.71599999999997"
"383","72.14499999999998","72.14499999999998","72.14499999999998"
"384","72.50299999999999","72.50299999999999","72.50299999999999"
"385","72.54199999999999","72.54199999999999","72.54199999999999"
"386","73.713","73.713","73.713"
"387","71.63399999999997","71.63399999999997","71.63399999999997"
"388","70.86399999999998","70.86399999999998","70.86399999999998"
"389","69.32299999999996","69.32299999999996","69.32299999999996"
"390","69.46899999999997","69.46899999999997","69.46899999999997"
"391","68.84799999999996","68.84799999999996","68.84799999999996"
"392","71.11399999999998","71.11399999999998","71.11399999999998"
"393","72.46699999999997","72.46699999999997","72.46699999999997"
"394","72.70399999999998","72.70399999999998","72.70399999999998"
"395","71.75299999999997","71.75299999999997","71.75299999999997"
"396","72.19099999999997","72.19099999999997","72.19099999999997"
"397","69.74799999999996","69.74799999999996","69.74799999999996"
"398","68.80299999999997","68.80299999999997","68.80299999999997"
"399","68.83399999999996","68.83399999999996","68.83399999999996"
"400","67.96999999999996","67.96999999999996","67.96999999999996"
"401","68.23899999999995","68.23899999999995","68.23899999999995"
"402","69.97199999999997","69.97199999999997","69.97199999999997"
"403","71.64599999999997","71.64599999999997","71.64599999999997"
"404","72.19299999999998","72.19299999999998","72.19299999999998"
"405","72.08899999999997","72.08899999999997","72.08899999999997"
"406","70.19099999999997","70.19099999999997","70.19099999999997"
"407","68.46799999999996","68.46799999999996","68.46799999999996"
"408","67.19599999999997","67.19599999999997","67.19599999999997"
"409","66.21499999999997","66.21499999999997","66.21499999999997"
"410","67.22299999999997","67.22299999999997","67.22299999999997"
"411","66.97599999999997","66.97599999999997","66.97599999999997"
"412","67.78599999999997","67.78599999999997","67.78599999999997"
"413","68.07599999999998","68.07599999999998","68.07599999999998"
"414","67.33199999999998","67.33199999999998","67.33199999999998"
"415","67.59799999999996","67.59799999999996","67.59799999999996"
"416","68.68299999999995","68.68299999999995","68.68299999999995"
"417","69.72699999999995","69.72699999999995","69.72699999999995"
"418","70.52899999999995","70.52899999999995","70.52899999999995"
"419","70.95999999999997","70.95999999999997","70.95999999999997"
"420","70.96599999999997","70.96599999999997","70.96599999999997"
"421","69.78199999999995","69.78199999999995","69.78199999999995"
"422","70.71699999999996","70.71699999999996","70.71699999999996"
"423","71.19199999999996","71.19199999999996","71.19199999999996"
"424","72.53799999999998","72.53799999999998","72.53799999999998"
"425","72.53699999999998","72.53699999999998","72.53699999999998"
"426","74.466","74.466","74.466"
"427","73.91299999999998","73.91299999999998","73.91299999999998"
"428","73.59399999999998","73.59399999999998","73.59399999999998"
"429","73.18199999999997","73.18199999999997","73.18199999999997"
"430","73.68499999999999","73.68499999999999","73.68499999999999"
"431","72.08099999999997","72.08099999999997","72.08099999999997"
"432","69.38699999999994","69.38699999999994","69.38699999999994"
"433","68.98399999999994","68.98399999999994","68.98399999999994"
"434","65.42399999999994","65.42399999999994","65.42399999999994"
"435","62.881999999999955","62.881999999999955","62.881999999999955"
"436","63.93799999999996","63.93799999999996","63.93799999999996"
"437","66.01599999999998","66.01599999999998","66.01599999999998"
"438","67.20799999999998","67.20799999999998","67.20799999999998"
"439","70.24299999999998","70.24299999999998","70.24299999999998"
"440","70.28999999999996","70.28999999999996","70.28999999999996"
"441","68.56299999999995","68.56299999999995","68.56299999999995"
"442","68.67999999999996","68.67999999999996","68.67999999999996"
"443","67.89999999999995","67.89999999999995","67.89999999999995"
"444","69.02499999999996","69.02499999999996","69.02499999999996"
"445","70.73799999999997","70.73799999999997","70.73799999999997"
"446","73.18799999999999","73.18799999999999","73.18799999999999"
"447","73.38999999999999","73.38999999999999","73.38999999999999"
"448","74.26499999999999","74.26499999999999","74.26499999999999"
"449","74.553","74.553","74.553"
"450","73.99599999999998","73.99599999999998","73.99599999999998"
"451","65.193","65.193","65.193"
"452","54.25399999999999","54.25399999999999","54.25399999999999"
"453","41.97199999999998","41.97199999999998","41.97199999999998"
"454","28.668999999999993","28.668999999999993","28.668999999999993"
"455","15.875999999999992","15.875999999999992","15.875999999999992"
"456","15.889999999999992","15.889999999999992","15.889999999999992"
"457","12.610999999999999","12.610999999999999","12.610999999999999"
"458","16.65699999999999","16.65699999999999","16.65699999999999"
"459","11.713999999999988","11.713999999999988","11.713999999999988"
"460","15.213999999999977","15.213999999999977","15.213999999999977"
"461","14.454999999999977","14.454999999999977","14.454999999999977"
"462","19.40799999999997","19.40799999999997","19.40799999999997"
"463","20.61999999999997","20.61999999999997","20.61999999999997"
"464","31.06099999999995","31.06099999999995","31.06099999999995"
"465","14.34499999999995","14.34499999999995","14.34499999999995"
"466","10.703999999999956","10.703999999999956","10.703999999999956"
"467","11.138999999999955","11.138999999999955","11.138999999999955"
"468","9.19899999999996","9.19899999999996","9.19899999999996"
"469","9.268999999999963","9.268999999999963","9.268999999999963"
"470","24.841999999999967","24.841999999999967","24.841999999999967"
"471","28.394999999999953","28.394999999999953","28.394999999999953"
"472","27.20499999999995","27.20499999999995","27.20499999999995"
"473","29.18899999999995","29.18899999999995","29.18899999999995"
"474","30.666999999999945","30.666999999999945","30.666999999999945"
"475","34.661999999999935","34.661999999999935","34.661999999999935"
"476","36.168999999999926","36.168999999999926","36.168999999999926"
"477","39.120999999999924","39.120999999999924","39.120999999999924"
"478","39.91699999999992","39.91699999999992","39.91699999999992"
"479","41.074999999999925","41.074999999999925","41.074999999999925"
"480","40.05499999999992","40.05499999999992","40.05499999999992"
"481","39.77399999999993","39.77399999999993","39.77399999999993"
"482","39.06599999999993","39.06599999999993","39.06599999999993"
"483","40.00599999999993","40.00599999999993","40.00599999999993"
"484","40.387999999999934","40.387999999999934","40.387999999999934"
"485","41.76199999999992","41.76199999999992","41.76199999999992"
"486","43.365999999999914","43.365999999999914","43.365999999999914"
"487","45.625999999999905","45.625999999999905","45.625999999999905"
"488","45.90599999999992","45.90599999999992","45.90599999999992"
"489","45.68799999999992","45.68799999999992","45.68799999999992"
"490","46.62599999999991","46.62599999999991","46.62599999999991"
"491","47.08099999999991","47.08099999999991","47.08099999999991"
"492","47.48499999999991","47.48499999999991","47.48499999999991"
"493","47.31199999999992","47.31199999999992","47.31199999999992"
"494","48.30199999999991","48.30199999999991","48.30199999999991"
