"Step","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_12-29-08 - reward","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_12-29-08 - reward__MIN","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_12-29-08 - reward__MAX"
"158","-93.21999999999998","-93.21999999999998","-93.21999999999998"
"159","-92.619","-92.619","-92.619"
"160","-91.96999999999997","-91.96999999999997","-91.96999999999997"
"161","-91.59700000000001","-91.59700000000001","-91.59700000000001"
"162","-91.71600000000002","-91.71600000000002","-91.71600000000002"
"163","-91.65","-91.65","-91.65"
"164","-92.786","-92.786","-92.786"
"165","-92.87","-92.87","-92.87"
"166","-93.79399999999998","-93.79399999999998","-93.79399999999998"
"167","-94.34099999999998","-94.34099999999998","-94.34099999999998"
"168","-95.15899999999999","-95.15899999999999","-95.15899999999999"
"169","-94.90100000000001","-94.90100000000001","-94.90100000000001"
"170","-95.598","-95.598","-95.598"
"171","-95.574","-95.574","-95.574"
"172","-95.48999999999998","-95.48999999999998","-95.48999999999998"
"173","-95.60599999999998","-95.60599999999998","-95.60599999999998"
"174","-95.64","-95.64","-95.64"
"175","-95.505","-95.505","-95.505"
"176","-95.53300000000002","-95.53300000000002","-95.53300000000002"
"177","-95.596","-95.596","-95.596"
"178","-95.51900000000002","-95.51900000000002","-95.51900000000002"
"179","-95.57000000000002","-95.57000000000002","-95.57000000000002"
"180","-95.478","-95.478","-95.478"
"181","-95.35400000000001","-95.35400000000001","-95.35400000000001"
"182","-94.93800000000002","-94.93800000000002","-94.93800000000002"
"183","-94.668","-94.668","-94.668"
"184","-95.98499999999996","-95.98499999999996","-95.98499999999996"
"185","-95.817","-95.817","-95.817"
"186","-96.734","-96.734","-96.734"
"187","-96.787","-96.787","-96.787"
"188","-96.74900000000001","-96.74900000000001","-96.74900000000001"
"189","-96.42499999999998","-96.42499999999998","-96.42499999999998"
"190","-97.692","-97.692","-97.692"
"191","-96.93499999999999","-96.93499999999999","-96.93499999999999"
"192","-96.668","-96.668","-96.668"
"193","-96.35600000000001","-96.35600000000001","-96.35600000000001"
"194","-94.46500000000002","-94.46500000000002","-94.46500000000002"
"195","-93.035","-93.035","-93.035"
"196","-92.348","-92.348","-92.348"
"197","-92.24199999999999","-92.24199999999999","-92.24199999999999"
"198","-92.34100000000001","-92.34100000000001","-92.34100000000001"
"199","-92.581","-92.581","-92.581"
"200","-92.86100000000002","-92.86100000000002","-92.86100000000002"
"201","-93.29099999999998","-93.29099999999998","-93.29099999999998"
"202","-94.09200000000001","-94.09200000000001","-94.09200000000001"
"203","-94.568","-94.568","-94.568"
"204","-95.21800000000002","-95.21800000000002","-95.21800000000002"
"205","-95.57199999999999","-95.57199999999999","-95.57199999999999"
"206","-95.71699999999997","-95.71699999999997","-95.71699999999997"
"207","-94.95999999999998","-94.95999999999998","-94.95999999999998"
"208","-94.68299999999999","-94.68299999999999","-94.68299999999999"
"209","-94.50399999999998","-94.50399999999998","-94.50399999999998"
"210","-94.35799999999999","-94.35799999999999","-94.35799999999999"
"211","-94.17299999999999","-94.17299999999999","-94.17299999999999"
"212","-93.98299999999999","-93.98299999999999","-93.98299999999999"
"213","-93.62800000000001","-93.62800000000001","-93.62800000000001"
"214","-92.94900000000001","-92.94900000000001","-92.94900000000001"
"215","-92.61399999999999","-92.61399999999999","-92.61399999999999"
"216","-92.791","-92.791","-92.791"
"217","-92.83499999999998","-92.83499999999998","-92.83499999999998"
"218","-93.07300000000004","-93.07300000000004","-93.07300000000004"
"219","-93.83999999999997","-93.83999999999997","-93.83999999999997"
"220","-93.573","-93.573","-93.573"
"221","-93.85300000000001","-93.85300000000001","-93.85300000000001"
"222","-94.736","-94.736","-94.736"
"223","-94.573","-94.573","-94.573"
"224","-93.89","-93.89","-93.89"
"225","-93.821","-93.821","-93.821"
"226","-93.412","-93.412","-93.412"
"227","-92.40799999999999","-92.40799999999999","-92.40799999999999"
"228","-92.551","-92.551","-92.551"
"229","-92.83699999999999","-92.83699999999999","-92.83699999999999"
"230","-93.00499999999998","-93.00499999999998","-93.00499999999998"
"231","-99.10599999999997","-99.10599999999997","-99.10599999999997"
"232","-99.55799999999999","-99.55799999999999","-99.55799999999999"
"233","-99.167","-99.167","-99.167"
"234","-182.50300000000004","-182.50300000000004","-182.50300000000004"
"235","-240.46500000000006","-240.46500000000006","-240.46500000000006"
"236","-270.49800000000016","-270.49800000000016","-270.49800000000016"
"237","-302.32700000000017","-302.32700000000017","-302.32700000000017"
"238","-305.2270000000001","-305.2270000000001","-305.2270000000001"
"239","-224.94300000000007","-224.94300000000007","-224.94300000000007"
"240","-174.06800000000004","-174.06800000000004","-174.06800000000004"
"241","-137.92200000000003","-137.92200000000003","-137.92200000000003"
"242","-110.18499999999996","-110.18499999999996","-110.18499999999996"
"243","-101.40199999999997","-101.40199999999997","-101.40199999999997"
"244","-97.61","-97.61","-97.61"
"245","-96.9","-96.9","-96.9"
"246","-96.86399999999999","-96.86399999999999","-96.86399999999999"
"247","-96.94300000000001","-96.94300000000001","-96.94300000000001"
"248","-96.94900000000001","-96.94900000000001","-96.94900000000001"
"249","-97.054","-97.054","-97.054"
"250","-97.197","-97.197","-97.197"
"251","-97.243","-97.243","-97.243"
"252","-97.11","-97.11","-97.11"
"253","-97.152","-97.152","-97.152"
"254","-97.193","-97.193","-97.193"
"255","-97.08300000000001","-97.08300000000001","-97.08300000000001"
"256","-97.10199999999999","-97.10199999999999","-97.10199999999999"
"257","-97.273","-97.273","-97.273"
"258","-97.31199999999997","-97.31199999999997","-97.31199999999997"
"259","-97.345","-97.345","-97.345"
"260","-97.49099999999997","-97.49099999999997","-97.49099999999997"
"261","-97.543","-97.543","-97.543"
"262","-97.441","-97.441","-97.441"
"263","-97.41399999999997","-97.41399999999997","-97.41399999999997"
"264","-97.38299999999998","-97.38299999999998","-97.38299999999998"
"265","-97.287","-97.287","-97.287"
"266","-97.53500000000003","-97.53500000000003","-97.53500000000003"
"267","-97.73100000000001","-97.73100000000001","-97.73100000000001"
"268","-98.00999999999998","-98.00999999999998","-98.00999999999998"
"269","-98.314","-98.314","-98.314"
"270","-98.605","-98.605","-98.605"
